Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,BRK,W,127,126,46,108,.426,13,43,.302,22,28,.786,12,52,23,9,4,13,22,,48,101,.475,15,34,.441,15,26,.577,10,48,19,8,9,16,30
2,2,2019-10-25,@,CHO,W,121,99,43,91,.473,12,38,.316,23,31,.742,13,52,30,11,6,15,21,,37,84,.440,12,29,.414,13,26,.500,9,42,26,6,5,19,29
3,3,2019-10-27,,MIA,W,116,109,39,91,.429,13,45,.289,25,33,.758,14,46,24,12,1,16,17,,42,85,.494,15,36,.417,10,15,.667,7,41,25,7,9,21,23
4,4,2019-10-30,@,PHI,L,95,117,32,81,.395,10,35,.286,21,28,.750,6,34,12,13,6,21,21,,43,92,.467,9,25,.360,22,28,.786,16,56,24,14,6,22,27
5,5,2019-11-02,@,WAS,W,131,109,51,94,.543,17,39,.436,12,17,.706,3,47,33,9,10,21,23,,37,95,.389,12,35,.343,23,27,.852,8,39,21,11,4,17,18
6,6,2019-11-04,,MIL,L,106,134,37,103,.359,13,43,.302,19,22,.864,13,47,20,12,4,15,23,,50,93,.538,14,39,.359,20,30,.667,11,57,24,8,6,17,20
7,7,2019-11-06,@,MEM,L,121,137,43,96,.448,16,45,.356,19,26,.731,10,36,29,9,7,11,22,,50,88,.568,12,23,.522,25,30,.833,8,49,34,4,3,17,22
8,8,2019-11-08,,GSW,W,125,119,48,111,.432,9,36,.250,20,29,.690,20,59,20,10,10,18,23,,43,103,.417,10,35,.286,23,24,.958,13,49,18,12,9,20,26
9,9,2019-11-10,,DEN,L,98,100,34,97,.351,6,45,.133,24,33,.727,15,53,22,9,10,12,23,,39,101,.386,11,28,.393,11,17,.647,14,57,26,6,4,20,30
10,10,2019-11-11,@,DET,W,120,114,45,89,.506,15,34,.441,15,19,.789,11,45,25,7,6,16,23,,39,87,.448,16,32,.500,20,25,.800,12,39,25,9,5,17,22
11,11,2019-11-13,,SAS,W,129,114,45,91,.495,11,34,.324,28,34,.824,13,50,25,11,4,10,25,,44,90,.489,3,17,.176,23,29,.793,10,44,24,4,4,11,23
12,12,2019-11-15,,WAS,L,116,137,42,89,.472,11,37,.297,21,29,.724,9,43,26,6,5,20,20,,54,100,.540,10,28,.357,19,25,.760,13,51,38,10,5,13,22
13,13,2019-11-16,,HOU,L,105,125,38,84,.452,12,38,.316,17,23,.739,13,46,23,7,5,18,20,,43,94,.457,19,49,.388,20,22,.909,14,42,15,7,3,12,18
14,14,2019-11-18,@,UTA,W,112,102,41,89,.461,14,38,.368,16,19,.842,5,51,22,6,10,15,25,,35,96,.365,12,31,.387,20,26,.769,12,53,20,5,5,14,23
15,15,2019-11-20,,UTA,L,95,103,35,89,.393,14,45,.311,11,21,.524,12,51,13,5,9,13,20,,35,86,.407,14,33,.424,19,27,.704,13,51,22,7,6,11,21
16,16,2019-11-23,,PHO,L,98,100,38,91,.418,12,42,.286,10,17,.588,9,57,26,2,10,14,23,,33,96,.344,10,35,.286,24,26,.923,12,56,22,9,3,7,17
17,17,2019-11-25,@,ATL,W,125,113,41,90,.456,15,35,.429,28,36,.778,14,47,27,10,6,13,25,,41,94,.436,10,32,.313,21,26,.808,9,42,26,6,4,17,25
18,18,2019-11-27,@,SAS,W,113,101,37,85,.435,18,40,.450,21,27,.778,7,53,28,4,6,11,19,,41,97,.423,5,29,.172,14,17,.824,8,46,25,4,8,6,18
19,19,2019-12-01,,MEM,L,107,115,33,85,.388,11,36,.306,30,35,.857,10,53,22,7,6,16,21,,41,100,.410,16,40,.400,17,21,.810,12,50,27,8,3,11,26
20,20,2019-12-04,@,DAL,L,114,121,37,89,.416,17,38,.447,23,26,.885,15,44,23,5,7,12,21,,46,92,.500,11,37,.297,18,23,.783,13,45,24,5,5,8,16
21,21,2019-12-06,@,OKC,L,127,139,50,96,.521,13,38,.342,14,20,.700,10,36,25,8,2,13,29,,49,88,.557,5,18,.278,36,40,.900,9,39,19,8,9,10,20
22,22,2019-12-08,@,LAL,L,125,142,44,84,.524,15,37,.405,22,26,.846,6,31,27,5,6,15,18,,55,94,.585,14,31,.452,18,20,.900,10,41,32,9,1,10,19
23,23,2019-12-09,@,PHO,L,109,125,40,85,.471,6,22,.273,23,29,.793,11,45,14,6,7,16,23,,47,95,.495,16,40,.400,15,19,.789,12,42,31,5,5,9,23
